timestamp,ATR_WINDOW,ATR_MULTIPLIER,VOLUME_MULTIPLIER,PnL
2025-02-20 21:00:16,14,1.6,1e-07,0.0
2025-02-20 21:11:11,14,1.6,1e-07,0.0
