open_time,raw_signal,filtered_signal
2021-01-11 07:00:00,0.0,0.0
2021-01-11 12:30:00,0.0,0.0
2021-01-11 14:00:00,0.0,0.0
2021-01-11 14:45:00,0.0,0.0
2021-01-11 15:00:00,0.0,0.0
2021-01-11 15:15:00,0.0,0.0
2021-01-11 16:30:00,1.0,1.0
2021-01-11 16:45:00,1.0,1.0
2021-01-11 18:15:00,1.0,1.0
2021-01-11 20:00:00,1.0,1.0
2021-01-11 20:15:00,1.0,1.0
2021-01-11 20:30:00,1.0,1.0
2021-01-12 01:15:00,0.0,0.0
2021-01-12 09:30:00,0.0,0.0
2021-01-12 13:00:00,0.0,0.0
2021-01-13 02:15:00,0.0,0.0
2021-01-13 02:30:00,0.0,0.0
2021-01-14 20:30:00,0.0,0.0
2021-01-18 11:15:00,0.0,0.0
2021-01-18 11:30:00,0.0,0.0
2021-01-21 08:00:00,0.0,0.0
2021-01-21 08:15:00,0.0,0.0
2021-01-21 21:15:00,1.0,1.0
2021-01-21 21:30:00,1.0,1.0
2021-01-21 23:30:00,1.0,1.0
2021-01-21 23:45:00,1.0,1.0
2021-01-22 00:00:00,1.0,1.0
2021-01-27 11:15:00,1.0,1.0
2021-01-27 15:15:00,1.0,1.0
2021-01-27 18:30:00,1.0,1.0
2021-01-27 18:45:00,1.0,1.0
2021-01-29 07:45:00,1.0,1.0
2021-01-29 08:00:00,0.0,0.0
2021-01-29 08:15:00,0.0,0.0
2021-01-29 08:30:00,0.0,0.0
2021-01-29 16:00:00,0.0,0.0
2021-01-29 18:45:00,0.0,0.0
2021-02-04 08:15:00,0.0,0.0
2021-02-08 12:00:00,0.0,0.0
2021-02-08 12:15:00,0.0,0.0
2021-02-08 12:30:00,0.0,0.0
2021-02-08 22:30:00,0.0,0.0
2021-02-10 11:45:00,0.0,0.0
2021-02-11 12:30:00,0.0,0.0
2021-02-15 01:30:00,0.0,0.0
2021-02-22 13:30:00,0.0,0.0
2021-02-22 14:15:00,0.0,0.0
2021-02-23 04:15:00,0.0,0.0
2021-02-23 07:30:00,0.0,0.0
2021-02-23 07:45:00,0.0,0.0
2021-02-23 08:00:00,0.0,0.0
2021-02-23 12:00:00,0.0,0.0
2021-02-23 13:45:00,0.0,0.0
2021-02-23 14:00:00,0.0,0.0
2021-02-24 00:15:00,0.0,0.0
2021-02-26 06:45:00,0.0,0.0
2021-02-26 21:15:00,0.0,0.0
2021-03-04 08:30:00,0.0,0.0
2021-03-04 23:30:00,0.0,0.0
2021-03-15 08:30:00,0.0,0.0
2021-03-16 00:00:00,0.0,0.0
2021-03-17 17:45:00,0.0,0.0
2021-04-18 02:30:00,0.0,0.0
2021-04-18 02:45:00,0.0,0.0
2021-04-18 03:00:00,0.0,0.0
2021-04-23 01:45:00,0.0,0.0
2021-04-25 23:45:00,0.0,0.0
2021-05-12 21:15:00,0.0,0.0
2021-05-12 21:30:00,0.0,0.0
2021-05-12 21:45:00,0.0,0.0
2021-05-12 22:45:00,0.0,0.0
2021-05-12 23:00:00,0.0,0.0
2021-05-12 23:15:00,0.0,0.0
2021-05-13 16:15:00,0.0,0.0
2021-05-13 16:30:00,0.0,0.0
2021-05-16 18:00:00,0.0,0.0
2021-05-16 20:00:00,1.0,1.0
2021-05-19 00:30:00,1.0,1.0
2021-05-19 00:45:00,1.0,1.0
2021-05-19 01:00:00,1.0,1.0
2021-05-19 11:45:00,1.0,1.0
2021-05-19 12:00:00,1.0,1.0
2021-05-19 12:15:00,1.0,1.0
2021-05-19 12:30:00,1.0,1.0
2021-05-19 12:45:00,1.0,1.0
2021-05-19 13:00:00,1.0,1.0
2021-05-19 13:15:00,1.0,1.0
2021-05-19 13:30:00,1.0,1.0
2021-05-19 14:00:00,1.0,1.0
2021-05-19 14:30:00,1.0,1.0
2021-05-19 15:45:00,1.0,1.0
2021-05-19 16:00:00,1.0,1.0
2021-05-19 16:15:00,1.0,1.0
2021-05-19 17:45:00,0.0,0.0
2021-05-19 22:30:00,0.0,0.0
2021-05-19 22:45:00,0.0,0.0
2021-05-19 23:00:00,1.0,1.0
2021-05-19 23:45:00,1.0,1.0
2021-05-20 00:00:00,1.0,1.0
2021-05-20 00:30:00,1.0,1.0
2021-05-20 03:30:00,1.0,1.0
2021-05-20 15:15:00,0.0,0.0
2021-05-20 15:45:00,0.0,0.0
2021-05-20 22:30:00,0.0,0.0
2021-05-21 06:00:00,0.0,0.0
2021-05-21 13:30:00,0.0,0.0
2021-05-21 13:45:00,0.0,0.0
2021-05-21 14:00:00,0.0,0.0
2021-05-21 18:45:00,0.0,0.0
2021-05-21 20:45:00,1.0,1.0
2021-05-21 21:00:00,1.0,1.0
2021-05-22 10:00:00,1.0,1.0
2021-05-23 11:45:00,1.0,0.0
2021-05-23 12:00:00,1.0,0.0
2021-05-23 12:15:00,1.0,0.0
2021-05-23 15:15:00,1.0,0.0
2021-05-23 15:30:00,1.0,0.0
2021-05-23 15:45:00,1.0,0.0
2021-05-23 16:15:00,1.0,0.0
2021-05-23 16:30:00,1.0,0.0
2021-05-24 10:45:00,1.0,0.0
2021-05-24 18:45:00,0.0,0.0
2021-05-24 19:00:00,0.0,0.0
2021-05-24 19:15:00,0.0,0.0
2021-05-26 05:45:00,0.0,0.0
2021-05-28 08:30:00,0.0,0.0
2021-05-29 23:45:00,1.0,0.0
2021-06-01 12:45:00,0.0,0.0
2021-06-05 09:00:00,0.0,0.0
2021-06-05 09:15:00,0.0,0.0
2021-06-07 20:00:00,0.0,0.0
2021-06-08 02:00:00,1.0,0.0
2021-06-09 14:30:00,1.0,0.0
2021-06-09 14:45:00,1.0,0.0
2021-06-10 09:00:00,1.0,0.0
2021-06-10 09:15:00,0.0,0.0
2021-06-13 19:15:00,0.0,0.0
2021-06-13 19:30:00,0.0,0.0
2021-06-14 12:15:00,0.0,0.0
2021-06-20 09:30:00,0.0,0.0
2021-06-21 05:45:00,0.0,0.0
2021-06-21 06:00:00,0.0,0.0
2021-06-22 11:15:00,1.0,0.0
2021-06-22 11:30:00,1.0,0.0
2021-06-22 11:45:00,1.0,0.0
2021-06-22 14:00:00,1.0,0.0
2021-06-22 14:15:00,1.0,0.0
2021-06-22 14:30:00,1.0,0.0
